Order_ID,Order_Date,Customer_ID,Region,Product_Category,Product_Name,Quantity,Unit_Price,Total_Sales
ORD100000,2023-01-01,CUST2824,East,Furniture,Jeans,6,1167,7002
ORD100001,2023-01-01,CUST1409,West,Grocery,Mobile,4,536,2144
ORD100002,2023-01-01,CUST5506,North,Grocery,Chair,4,1192,4768
ORD100003,2023-01-01,CUST5012,East,Clothing,TV,3,693,2079
ORD100004,2023-01-01,CUST4657,East,Electronics,Jeans,8,2660,21280
ORD100005,2023-01-01,CUST3286,West,Grocery,Milk,6,376,2256
ORD100006,2023-01-01,CUST2679,North,Clothing,TV,9,4687,42183
ORD100007,2023-01-01,CUST9935,North,Furniture,Laptop,5,182,910
ORD100008,2023-01-01,CUST2424,East,Furniture,Jeans,6,3483,20898
ORD100009,2023-01-01,CUST7912,South,Furniture,Table,9,567,5103
ORD100010,2023-01-01,CUST1520,East,Furniture,Rice,4,1097,4388
ORD100011,2023-01-01,CUST1488,East,Clothing,Laptop,7,2479,17353
ORD100012,2023-01-01,CUST2535,East,Electronics,Sofa,6,1392,8352
ORD100013,2023-01-01,CUST4582,East,Clothing,Mobile,6,4195,25170
ORD100014,2023-01-01,CUST4811,West,Electronics,Table,6,1467,8802
ORD100015,2023-01-01,CUST9279,North,Furniture,Table,4,4034,16136
ORD100016,2023-01-01,CUST1434,West,Grocery,TV,6,193,1158
ORD100017,2023-01-01,CUST4257,West,Grocery,Rice,7,1022,7154
ORD100018,2023-01-01,CUST9928,West,Grocery,Milk,2,3241,6482
ORD100019,2023-01-01,CUST7873,East,Electronics,TV,9,2009,18081
ORD100020,2023-01-01,CUST4611,South,Furniture,Rice,7,3554,24878
ORD100021,2023-01-01,CUST8359,North,Clothing,Jeans,3,2729,8187
ORD100022,2023-01-01,CUST5557,South,Grocery,Mobile,7,1979,13853
ORD100023,2023-01-01,CUST1106,West,Electronics,Laptop,5,1904,9520
ORD100024,2023-01-02,CUST3615,West,Grocery,Table,9,1258,11322
ORD100025,2023-01-02,CUST7924,South,Clothing,Milk,6,3320,19920
ORD100026,2023-01-02,CUST6574,South,Furniture,TV,7,457,3199
ORD100027,2023-01-02,CUST5552,South,Clothing,Mobile,4,241,964
ORD100028,2023-01-02,CUST3547,West,Furniture,Laptop,2,1894,3788
ORD100029,2023-01-02,CUST4527,West,Furniture,Mobile,4,2978,11912
ORD100030,2023-01-02,CUST6514,North,Furniture,Table,9,2318,20862
ORD100031,2023-01-02,CUST2674,North,Grocery,Jeans,3,2159,6477
